fid,InputID,TargetID,Distance,Proximity
99,45,48,208.2348834,0
100,45,49,113.4972227,1
101,45,50,93.7076155,1
102,45,51,135.8342818,1
103,45,52,194.7480884,1
104,45,53,412.7628032,0
105,45,54,442.296863,0
106,45,55,385.159511,0
107,45,56,366.3632274,0
108,45,57,510.6079937,0
109,45,58,534.4141089,0
110,45,59,493.1970093,0
111,45,60,493.7478487,0
112,45,61,605.6698826,0
113,45,62,630.6022884,0
114,45,63,596.0997049,0
115,45,64,602.7811508,0
116,46,41,134.9619088,1
117,46,42,131.1934944,1
118,46,43,159.1466953,1
119,46,44,236.5224862,0
120,46,45,65.22861422,1
121,46,47,69.24510581,1
122,46,48,146.8006193,1
123,46,49,119.058107,1
124,46,50,131.6100357,1
125,46,51,121.4619627,1
126,46,52,156.3098548,1
127,46,53,349.2662711,0
128,46,54,377.2421453,0
129,46,55,323.7720562,0
130,46,56,308.9472062,0
131,46,57,448.6412723,0
132,46,58,470.4736478,0
133,46,59,433.6047194,0
134,46,60,440.1437759,0
135,46,61,545.2347584,0
136,46,62,567.908526,0
137,46,63,537.8769279,0
138,46,64,549.1515086,0
139,47,41,168.9275872,1
140,47,42,135.7895346,1
141,47,43,123.7914268,1
142,47,44,181.3961612,1
143,47,45,130.0529878,1
144,47,46,69.24510581,1
145,47,48,78.25394277,1
146,47,49,128.5244344,1
147,47,50,167.2114381,1
148,47,51,108.5824086,1
149,47,52,105.7969621,1
150,47,53,303.1827095,0
151,47,54,322.1781146,0
152,47,55,285.4278698,0
153,47,56,281.444957,0
154,47,57,406.5169754,0
155,47,58,421.2478722,0
156,47,59,398.1312521,0
157,47,60,417.4656118,0
158,47,61,506.4190966,0
159,47,62,522.5555434,0
160,47,63,504.3956603,0
161,47,64,524.8898127,0
162,48,41,217.9640317,0
163,48,42,165.3368029,1
164,48,43,109.9798431,1
165,48,44,122.5525693,1
166,48,45,208.2348834,0
167,48,46,146.8006193,1
168,48,47,78.25394277,1
169,48,49,184.7383916,1
170,48,50,234.4689784,0
171,48,51,152.3629333,1
172,48,52,102.8442786,1
173,48,53,250.3593939,0
174,48,54,257.1753712,0
175,48,55,243.6519775,0
176,48,56,253.9434291,0
177,48,57,355.6638517,0
178,48,58,361.5791032,0
179,48,59,355.5839868,0
180,48,60,389.7480167,0
181,48,61,457.6700388,0
182,48,62,466.0470863,0
183,48,63,461.9064655,0
184,48,64,492.7798599,0
185,49,41,253.299448,0
186,49,42,246.5062319,0
187,49,43,251.9750347,0
188,49,44,303.9209652,0
189,49,45,113.4972227,1
190,49,46,119.058107,1
191,49,47,128.5244344,1
192,49,48,184.7383916,1
193,49,50,60.29354279,1
194,49,51,39.59097872,1
195,49,52,116.790534,1
196,49,53,429.25697,0
197,49,54,441.702937,0
198,49,55,413.6949865,0
199,49,56,409.3889993,0
200,49,57,533.5424972,0
201,49,58,544.6919208,0
202,49,59,526.5242324,0
203,49,60,544.7891331,0
204,49,61,634.1202164,0
205,49,62,647.802952,0
206,49,63,632.8648484,0
207,49,64,652.7221734,0
208,50,41,253.5994891,0
209,50,42,262.2594616,0
210,50,43,284.7310069,0
211,50,44,348.3055319,0
212,50,45,93.7076155,1
213,50,46,131.6100357,1
214,50,47,167.2114381,1
215,50,48,234.4689784,0
216,50,49,60.29354279,1
217,50,51,99.65311249,1
218,50,52,176.6006617,1
219,50,53,470.0177873,0
220,50,54,488.4985251,0
221,50,55,449.592612,0
222,50,56,438.9364472,0
223,50,57,572.5436196,0
224,50,58,588.4577679,0
225,50,59,561.224557,0
226,50,60,571.4076666,0
227,50,61,671.3646509,0
228,50,62,689.5046333,0
229,50,63,666.5599342,0
230,50,64,680.3186813,0
231,51,41,255.3987721,0
232,51,42,238.3407761,0
233,51,43,231.3679927,0
234,51,44,273.9706184,0
235,51,45,135.8342818,1
236,51,46,121.4619627,1
237,51,47,108.5824086,1
238,51,48,152.3629333,1
239,51,49,39.59097872,1
240,51,50,99.65311249,1
241,51,52,77.20799329,1
242,51,53,400.9050865,0
243,51,54,409.2812937,0
244,51,55,388.7440577,0
245,51,56,388.8175874,0
246,51,57,505.885379,0
247,51,58,513.9024003,0
248,51,59,501.7322034,0
249,51,60,525.2734851,0
250,51,61,607.2794464,0
251,51,62,618.0735177,0
252,51,63,608.3291087,0
253,51,64,632.1009845,0
254,52,41,274.4712352,0
255,52,42,239.1193976,0
256,52,43,205.727856,0
257,52,44,222.6999961,0
258,52,45,194.7480884,1
259,52,46,156.3098548,1
260,52,47,105.7969621,1
261,52,48,102.8442786,1
262,52,49,116.790534,1
263,52,50,176.6006617,1
264,52,51,77.20799329,1
265,52,53,350.3171126,0
266,52,54,348.9755756,0
267,52,55,346.2463226,0
268,52,56,356.1588818,0
269,52,57,455.4515196,0
270,52,58,456.3629652,0
271,52,59,457.6936705,0
272,52,60,492.3347686,0
273,52,61,557.7267131,0
274,52,62,562.1619843,0
275,52,63,563.7399841,0
276,52,64,595.623921,0
277,53,41,312.8323336,0
278,53,42,252.8590664,0
279,53,43,190.8088936,1
280,53,44,127.9085984,1
281,53,45,412.7628032,0
282,53,46,349.2662711,0
283,53,47,303.1827095,0
284,53,48,250.3593939,0
285,53,49,429.25697,0
286,53,50,470.0177873,0
287,53,51,400.9050865,0
288,53,52,350.3171126,0
289,53,54,68.46205539,1
290,53,55,49.43292147,1
291,53,56,103.4305984,1
292,53,57,105.3131092,1
293,53,58,122.239771,1
294,53,59,113.8715109,1
295,53,60,178.9732168,1
296,53,61,207.4659165,0
297,53,62,219.5061325,0
298,53,63,215.8816511,0
299,53,64,261.4260359,0
300,54,41,362.0479671,0
301,54,42,298.5376578,0
302,54,43,225.9174008,0
303,54,44,141.1818734,1
304,54,45,442.296863,0
305,54,46,377.2421453,0
306,54,47,322.1781146,0
307,54,48,257.1753712,0
308,54,49,441.702937,0
309,54,50,488.4985251,0
310,54,51,409.2812937,0
311,54,52,348.9755756,0
312,54,53,68.46205539,1
313,54,55,116.8459909,1
314,54,56,170.9995171,1
315,54,57,128.5084861,1
316,54,58,108.8048196,1
317,54,59,158.8406458,1
318,54,60,236.9235516,0
319,54,61,224.1199768,0
320,54,62,215.2077444,0
321,54,63,245.5511216,0
322,54,64,304.5135546,0
323,55,41,272.5662729,0
324,55,42,216.1789183,0
325,55,43,165.1379114,1
326,55,44,127.3075037,1
327,55,45,385.159511,0
328,55,46,323.7720562,0
