Species,Genus,body_length,eye_length_standard,eye_protrusion_ratio,pronotum_width_standard,abdomen_width_standard,rear_leg_length_standard,antenna_rear_leg_ratio,rear_trochanter_length_standard,Forest_affinity,Water_affinity,Flight_capability,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,antenna_length_standard,eye_protrusion_standard
Platynus_angustatus,Platynus,14.225,0.059770094,1.067328042,0.218513853,0.364998249,1.023793304,0.667267797,0.087683482,forest specialist,1,0,2.778272356,-0.471487822,-1.374617273,1.496721197,-0.515561458,0.330238059,-1.123860194,-0.255772415,0.684559741,0.063414708
Platynus_decentis,Platynus,11.2,0.053571429,1.333333333,0.258928571,0.392857143,0.794642857,0.617977528,0.089285714,eurytopic,1,0,1.367598056,-0.021008583,1.41745502,0.184464452,0.540386379,-0.532279091,-0.956757009,0.002719699,0.491071429,0.071428571
Platynus_hypolithos,Platynus,15.9,0.056603774,1.222222222,0.20754717,0.371069182,0.886792453,0.673758865,0.094339623,eurytopic,1,0,2.532000698,-0.006135811,-0.407369379,0.821911166,0.677487276,0.03084508,-0.23138613,0.101228626,0.597484277,0.06918239
Platynus_tenuicollis,Platynus,11.44,0.04897751,1.153333333,0.199545996,0.40085927,0.704571582,0.749880069,0.077062021,forest specialist,1,1,2.446081226,-1.060421888,0.27315819,-1.45845463,-0.063936373,0.254404557,0.702401882,0.525224648,0.521893093,0.056044054
Pseudamara_arenaria,Pseudamara,6.325,0.047449362,0.916666667,0.312453113,0.387659415,0.541947987,0.715351812,0.102963241,eurytopic,0.5,0.5,-1.508257934,-2.087237271,0.248661291,-1.835286997,-1.057100186,1.130656072,0.357229556,-0.209279347,0.387659415,0.043573393
Pterostichus_adoxus,Pterostichus,16.20833333,0.047833167,1.075099206,0.26031733,0.325119206,0.696611877,0.548296541,0.109613025,forest specialist,1,0,-0.811548522,1.126846953,-1.126323415,-0.029078196,0.148144405,-0.491398665,-0.040623188,-0.019302916,0.382062583,0.051416383
Pterostichus_atratus,Pterostichus,15.55,0.048236,1.1,0.308679378,0.379518571,0.686388452,0.575891289,0.130221689,eurytopic,0.5,0,-1.600121545,0.516959463,0.489551348,0.727111168,-0.024931317,0.666704773,0.188569079,0.09311388,0.395380098,0.05307511
Pterostichus_coracinus,Pterostichus,16.19166667,0.048830375,1.105191799,0.265942275,0.341055033,0.711734798,0.613153247,0.122854056,eurytopic,0.5,0,-0.656500583,0.587918425,-0.738883275,0.260331584,0.638322576,0.445415899,0.169904169,0.15481909,0.43612513,0.053953327
Pterostichus_corvinus,Pterostichus,13.625,0.052401733,1.105952381,0.286586617,0.361498154,0.619299079,0.567211031,0.11107037,eurytopic,1,1,-1.246265942,0.08002235,0.13890373,-0.026587158,0.101690663,-0.515440262,0.246866785,-0.290737134,0.351428794,0.057975206
Pterostichus_diligendus,Pterostichus,13.5,0.048148148,1.076923077,0.259259259,0.325925926,0.655555556,0.598870056,0.125925926,forest specialist,1,0,-1.211149882,0.295522175,-1.093285366,-0.197006551,0.744675008,0.044576941,0.105709102,0.487237816,0.392592593,0.051851852
Pterostichus_hamiltoni,Pterostichus,13.7,0.051094891,1.071428571,0.310218978,0.357664234,0.715328467,0.581632653,0.116788321,eurytopic,0.5,0,-1.314647626,0.188169141,-0.066431914,0.450084525,-0.154356936,0.340921656,-0.431945053,-0.430066183,0.416058394,0.054744526
Pterostichus_lachrymosus,Pterostichus,16.46666667,0.043081638,1.11790293,0.260564888,0.348763407,0.717581283,0.608534655,0.116571163,eurytopic,0.5,0,-0.405879904,1.087118782,-0.503462035,-0.179524151,0.311835471,0.553024091,0.143819653,0.477253306,0.437337061,0.048136401
Pterostichus_melanarius,Pterostichus,18,0.047301407,1.117851307,0.260274285,0.339326891,0.634798599,0.561814736,0.110084839,eurytopic,0.5,0.5,-0.820187109,1.230565983,-0.569349544,-0.230997494,0.395022572,-0.4457539,0.625338005,-0.093526875,0.356883012,0.052874644
Pterostichus_moestus,Pterostichus,18.24166667,0.051579269,1.11939493,0.265289106,0.330366682,0.74097686,0.617663017,0.122437631,forest specialist,1,0,-0.408821208,0.768086413,-1.013783284,0.60770916,0.92606822,0.459220838,0.174381366,-0.244489149,0.457543574,0.057516549
Pterostichus_mutus,Pterostichus,12.38333333,0.048550385,1.09900076,0.271619379,0.345453504,0.655962064,0.574668335,0.101791251,eurytopic,0,1,-0.770930957,0.308394106,-0.332463696,-0.57487845,-0.026941774,-0.543416565,-0.223715121,-0.051043315,0.377274403,0.053218488
Pterostichus_rostratus,Pterostichus,17.125,0.034288675,1.195299772,0.247271213,0.297373459,0.601747842,0.592194809,0.105890024,forest specialist,1,0,-0.76801068,2.243078642,-0.980414641,-1.927808344,1.163577055,-0.075098212,0.144693677,0.529311857,0.356442703,0.040984008
Pterostichus_sayanus,Pterostichus,11.26,0.047114899,0.971509972,0.279592803,0.317203283,0.584288194,0.616007402,0.114605429,eurytopic,0,0,-1.794799745,-0.256541793,-1.379703863,-1.150583422,0.095877192,0.081510342,0.102432482,-0.025802568,0.359769571,0.045792298
Pterostichus_stygicus,Pterostichus,15.68333333,0.051013037,1.051552288,0.27950923,0.335171968,0.666253891,0.597278707,0.117734382,eurytopic,1,0,-1.146006403,0.342525082,-0.890467299,0.07586339,0.326877081,0.122658612,0.24051091,-0.323547428,0.398307108,0.053689673
Pterostichus_tristis,Pterostichus,13.51666667,0.051880224,1.025641026,0.263032477,0.33827161,0.701139365,0.584775951,0.112827999,forest specialist,0.5,0,-0.785142793,0.05446804,-1.103443326,0.134400501,-0.03112569,-0.230519154,-0.051883319,-0.000100707,0.409963209,0.05316845
Scaphinotus_andrewsii,Scaphinotus,24.5,0.040819047,1.15,0.181628097,0.375368621,0.838981357,0.62206823,0.061195248,forest specialist,0.5,0,3.222896182,2.479257184,-0.696908244,-0.579657912,-0.844669298,-0.211473808,0.981595609,-0.012194724,0.520026324,0.046958565
Scaphinotus_imperfectus,Scaphinotus,7.79,0.048750792,1.017142857,0.210455409,0.313270956,0.744813945,0.752871573,0.057694831,forest specialist,1,0,2.114181115,-1.181856701,-1.983304451,-2.581058468,-0.240920691,-0.054483402,-0.824844635,-0.396475612,0.560165486,0.049612525
Scaphinotus_ridingsii,Scaphinotus,15.85,0.044175028,1.285714286,0.223980729,0.406991559,0.918060201,0.605087868,0.069417901,forest specialist,0.5,0,2.89738595,1.42048694,1.012201347,0.074848613,-0.688913993,-0.219878553,-0.826440984,0.414580205,0.555641822,0.056796464
Scaphinotus_viduus,Scaphinotus,26.4,0.041704963,1.363636364,0.237017463,0.461167279,0.77745864,0.624593128,0.066636029,eurytopic,1,0,3.001071911,2.53871048,2.656341104,0.036179831,-0.64286138,0.254714151,1.556544536,-0.360825231,0.474494485,0.056870404
Sphaeroderus_canadensis,Sphaeroderus,12.458,0.041771337,1.074110248,0.264607876,0.38849932,0.79466652,0.685103009,0.080994881,forest specialist,1,0,1.204281424,0.097408214,0.186598325,-1.059621571,-1.112676299,1.032914397,-0.471445538,0.086972496,0.544114262,0.044856038
Sphaeroderus_stenostomus,Sphaeroderus,14.56666667,0.036620092,1.187878788,0.280239186,0.403757605,0.775043101,0.632883712,0.07100545,eurytopic,1,0,1.193118716,1.263599972,1.320376587,-1.296429669,-1.214357287,0.651691855,-0.556000562,-0.037258265,0.490539461,0.043457658
Synuchus_impunctatus,Synuchus,12.6,0.047619048,1.333333333,0.238095238,0.357142857,0.698412698,0.568181818,0.103174603,eurytopic,0,0.5,0.374572104,0.908997044,0.659154406,-0.333552329,1.17948113,-1.022833627,-0.469496431,0.716993678,0.396825397,0.063492063
Trichotichnus_autumnalis,Trichotichnus,8.5,0.047084891,1.125,0.266375848,0.387896413,0.505331672,0.580978261,0.088422656,forest specialist,1,1,-0.86920679,-0.51528307,1.008669266,-1.734528115,-0.489544683,-1.20345339,0.472581208,0.280126059,0.293726631,0.052832018
